points/segment = 2000
x-axis,D0-D7
second,
-10.00000E-03,16
-9.95000E-03,16
-9.90000E-03,16
-9.85000E-03,16
-9.80000E-03,16
-9.75000E-03,16
-9.70000E-03,16
-9.65000E-03,16
-9.60000E-03,16
-9.55000E-03,16
-9.50000E-03,16
-9.45000E-03,16
-9.40000E-03,16
-9.35000E-03,16
-9.30000E-03,16
-9.25000E-03,16
-9.20000E-03,16
-9.15000E-03,16
-9.10000E-03,16
-9.05000E-03,16
-9.00000E-03,16
-8.95000E-03,16
-8.90000E-03,16
-8.85000E-03,16
-8.80000E-03,16
-8.75000E-03,16
-8.70000E-03,16
-8.65000E-03,16
-8.60000E-03,16
-8.55000E-03,16
-8.50000E-03,16
-8.45000E-03,16
-8.40000E-03,16
-8.35000E-03,16
-8.30000E-03,16
-8.25000E-03,16
-8.20000E-03,16
-8.15000E-03,16
-8.10000E-03,16
-8.05000E-03,16
-8.00000E-03,16
-7.95000E-03,16
-7.90000E-03,16
-7.85000E-03,16
-7.80000E-03,16
-7.75000E-03,16
-7.70000E-03,16
-7.65000E-03,16
-7.60000E-03,16
-7.55000E-03,16
-7.50000E-03,16
-7.45000E-03,16
-7.40000E-03,16
-7.35000E-03,16
-7.30000E-03,16
-7.25000E-03,16
-7.20000E-03,16
-7.15000E-03,16
-7.10000E-03,16
-7.05000E-03,16
-7.00000E-03,16
-6.95000E-03,16
-6.90000E-03,16
-6.85000E-03,16
-6.80000E-03,16
-6.75000E-03,16
-6.70000E-03,16
-6.65000E-03,16
-6.60000E-03,16
-6.55000E-03,16
-6.50000E-03,16
-6.45000E-03,16
-6.40000E-03,16
-6.35000E-03,16
-6.30000E-03,16
-6.25000E-03,16
-6.20000E-03,16
-6.15000E-03,16
-6.10000E-03,16
-6.05000E-03,16
-6.00000E-03,16
-5.95000E-03,16
-5.90000E-03,16
-5.85000E-03,16
-5.80000E-03,16
-5.75000E-03,16
-5.70000E-03,16
-5.65000E-03,16
-5.60000E-03,16
-5.55000E-03,16
-5.50000E-03,16
-5.45000E-03,16
-5.40000E-03,16
-5.35000E-03,16
-5.30000E-03,16
-5.25000E-03,16
-5.20000E-03,16
-5.15000E-03,16
-5.10000E-03,16
-5.05000E-03,16
-5.00000E-03,16
-4.95000E-03,16
-4.90000E-03,16
-4.85000E-03,16
-4.80000E-03,16
-4.75000E-03,16
-4.70000E-03,16
-4.65000E-03,16
-4.60000E-03,16
-4.55000E-03,16
-4.50000E-03,16
-4.45000E-03,16
-4.40000E-03,16
-4.35000E-03,16
-4.30000E-03,16
-4.25000E-03,16
-4.20000E-03,16
-4.15000E-03,16
-4.10000E-03,16
-4.05000E-03,16
-4.00000E-03,16
-3.95000E-03,16
-3.90000E-03,16
-3.85000E-03,16
-3.80000E-03,16
-3.75000E-03,16
-3.70000E-03,16
-3.65000E-03,16
-3.60000E-03,16
-3.55000E-03,16
-3.50000E-03,16
-3.45000E-03,16
-3.40000E-03,16
-3.35000E-03,16
-3.30000E-03,16
-3.25000E-03,16
-3.20000E-03,16
-3.15000E-03,16
-3.10000E-03,16
-3.05000E-03,16
-3.00000E-03,16
-2.95000E-03,16
-2.90000E-03,16
-2.85000E-03,16
-2.80000E-03,16
-2.75000E-03,16
-2.70000E-03,16
-2.65000E-03,16
-2.60000E-03,16
-2.55000E-03,16
-2.50000E-03,16
-2.45000E-03,16
-2.40000E-03,16
-2.35000E-03,16
-2.30000E-03,16
-2.25000E-03,16
-2.20000E-03,16
-2.15000E-03,16
-2.10000E-03,16
-2.05000E-03,16
-2.00000E-03,16
-1.95000E-03,16
-1.90000E-03,16
-1.85000E-03,16
-1.80000E-03,16
-1.75000E-03,16
-1.70000E-03,16
-1.65000E-03,16
-1.60000E-03,16
-1.55000E-03,16
-1.50000E-03,16
-1.45000E-03,16
-1.40000E-03,16
-1.35000E-03,16
-1.30000E-03,16
-1.25000E-03,16
-1.20000E-03,16
-1.15000E-03,16
-1.10000E-03,16
-1.05000E-03,16
-1.00000E-03,16
-950.00E-06,16
-900.00E-06,16
-850.00E-06,16
-800.00E-06,16
-750.00E-06,16
-700.00E-06,16
-650.00E-06,16
-600.00E-06,16
-550.00E-06,16
-500.00E-06,16
-450.00E-06,16
-400.00E-06,16
-350.00E-06,16
-300.00E-06,16
-250.00E-06,16
-200.00E-06,16
-150.00E-06,16
-100.00E-06,16
-50.00E-06,16
-0.0E+00,18
+50.00E-06,16
+100.00E-06,18
+150.00E-06,16
+200.00E-06,18
+250.00E-06,16
+300.00E-06,18
+350.00E-06,18
+400.00E-06,16
+450.00E-06,18
+500.00E-06,16
+550.00E-06,19
+600.00E-06,18
+650.00E-06,16
+700.00E-06,18
+750.00E-06,16
+800.00E-06,18
+850.00E-06,18
+900.00E-06,16
+950.00E-06,18
+1.00000E-03,16
+1.05000E-03,18
+1.10000E-03,18
+1.15000E-03,16
+1.20000E-03,18
+1.25000E-03,16
+1.30000E-03,18
+1.35000E-03,16
+1.40000E-03,19
+1.45000E-03,18
+1.50000E-03,16
+1.55000E-03,18
+1.60000E-03,16
+1.65000E-03,18
+1.70000E-03,18
+1.75000E-03,16
+1.80000E-03,18
+1.85000E-03,16
+1.90000E-03,18
+1.95000E-03,18
+2.00000E-03,16
+2.05000E-03,18
+2.10000E-03,16
+2.15000E-03,19
+2.20000E-03,18
+2.25000E-03,16
+2.30000E-03,18
+2.35000E-03,17
+2.40000E-03,19
+2.45000E-03,16
+2.50000E-03,19
+2.55000E-03,18
+2.60000E-03,16
+2.65000E-03,16
+2.70000E-03,16
+2.75000E-03,16
+2.80000E-03,16
+2.85000E-03,16
+2.90000E-03,16
+2.95000E-03,16
+3.00000E-03,16
