points/segment = 2000
x-axis,D0-D7
second,
-25.00000E-03,16
-24.97500E-03,16
-24.95000E-03,16
-24.92500E-03,16
-24.90000E-03,16
-24.87500E-03,16
-24.85000E-03,16
-24.82500E-03,16
-24.80000E-03,16
-24.77500E-03,16
-24.75000E-03,16
-24.72500E-03,16
-24.70000E-03,16
-24.67500E-03,16
-24.65000E-03,16
-24.62500E-03,16
-24.60000E-03,16
-24.57500E-03,16
-24.55000E-03,16
-24.52500E-03,16
-24.50000E-03,16
-24.47500E-03,16
-24.45000E-03,16
-24.42500E-03,16
-24.40000E-03,16
-24.37500E-03,16
-24.35000E-03,16
-24.32500E-03,16
-24.30000E-03,16
-24.27500E-03,16
-24.25000E-03,16
-24.22500E-03,16
-24.20000E-03,16
-24.17500E-03,16
-24.15000E-03,16
-24.12500E-03,16
-24.10000E-03,16
-24.07500E-03,16
-24.05000E-03,16
-24.02500E-03,16
-24.00000E-03,16
-23.97500E-03,16
-23.95000E-03,16
-23.92500E-03,16
-23.90000E-03,16
-23.87500E-03,16
-23.85000E-03,16
-23.82500E-03,16
-23.80000E-03,16
-23.77500E-03,16
-23.75000E-03,16
-23.72500E-03,16
-23.70000E-03,16
-23.67500E-03,16
-23.65000E-03,16
-23.62500E-03,16
-23.60000E-03,16
-23.57500E-03,16
-23.55000E-03,16
-23.52500E-03,16
-23.50000E-03,16
-23.47500E-03,16
-23.45000E-03,16
-23.42500E-03,16
-23.40000E-03,16
-23.37500E-03,16
-23.35000E-03,16
-23.32500E-03,16
-23.30000E-03,16
-23.27500E-03,16
-23.25000E-03,16
-23.22500E-03,16
-23.20000E-03,16
-23.17500E-03,16
-23.15000E-03,16
-23.12500E-03,16
-23.10000E-03,16
-23.07500E-03,16
-23.05000E-03,16
-23.02500E-03,16
-23.00000E-03,16
-22.97500E-03,16
-22.95000E-03,16
-22.92500E-03,16
-22.90000E-03,16
-22.87500E-03,16
-22.85000E-03,16
-22.82500E-03,16
-22.80000E-03,16
-22.77500E-03,16
-22.75000E-03,16
-22.72500E-03,16
-22.70000E-03,16
-22.67500E-03,16
-22.65000E-03,16
-22.62500E-03,16
-22.60000E-03,16
-22.57500E-03,16
-22.55000E-03,16
-22.52500E-03,16
-22.50000E-03,16
-22.47500E-03,16
-22.45000E-03,16
-22.42500E-03,16
-22.40000E-03,16
-22.37500E-03,16
-22.35000E-03,16
-22.32500E-03,16
-22.30000E-03,16
-22.27500E-03,16
-22.25000E-03,16
-22.22500E-03,16
-22.20000E-03,16
-22.17500E-03,16
-22.15000E-03,16
-22.12500E-03,16
-22.10000E-03,16
-22.07500E-03,16
-22.05000E-03,16
-22.02500E-03,16
-22.00000E-03,16
-21.97500E-03,16
-21.95000E-03,16
-21.92500E-03,16
-21.90000E-03,16
-21.87500E-03,16
-21.85000E-03,16
-21.82500E-03,16
-21.80000E-03,16
-21.77500E-03,16
-21.75000E-03,16
-21.72500E-03,16
-21.70000E-03,16
-21.67500E-03,16
-21.65000E-03,16
-21.62500E-03,16
-21.60000E-03,16
-21.57500E-03,16
-21.55000E-03,16
-21.52500E-03,16
-21.50000E-03,16
-21.47500E-03,16
-21.45000E-03,16
-21.42500E-03,16
-21.40000E-03,16
-21.37500E-03,16
-21.35000E-03,16
-21.32500E-03,16
-21.30000E-03,16
-21.27500E-03,16
-21.25000E-03,16
-21.22500E-03,16
-21.20000E-03,16
-21.17500E-03,16
-21.15000E-03,16
